,race_type,course_len,ground_state,class,avg_pop,pop_1_count,pop_2_count,pop_3_count,pop_4_count,pop_5_count,pop_6_count,pop_7_count,pop_8_count,pop_9_count,pop_10_count,pop_11_count,pop_12_count,pop_13_count,pop_14_count,pop_15_count,pop_16_count,pop_17_count,pop_18_count
0,芝,1400,全,all,4.4,20,7,8,4,3,2,4,1,0,1,0,1,0,1,1,0,0,0
1,芝,1400,良,all,4.27,17,6,8,3,3,2,3,1,0,1,0,1,0,0,1,0,0,0
2,芝,1400,稍重,all,6.85,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3,芝,1400,重,all,1.09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,芝,1400,不良,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,芝,1400,全,未勝利,3.35,6,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,芝,1400,良,未勝利,3.37,6,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7,芝,1400,稍重,未勝利,3.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,芝,1400,重,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,芝,1400,不良,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,芝,1400,全,新馬,5.72,2,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
11,芝,1400,良,新馬,5.72,2,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
12,芝,1400,稍重,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,芝,1400,重,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,芝,1400,不良,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,芝,1400,全,1勝クラス,4.98,3,0,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,芝,1400,良,1勝クラス,4.8,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,芝,1400,稍重,1勝クラス,7.56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,芝,1400,重,1勝クラス,1.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,芝,1400,不良,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,芝,1400,全,2勝クラス,5.57,4,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
21,芝,1400,良,2勝クラス,5.25,3,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
22,芝,1400,稍重,2勝クラス,12.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,芝,1400,重,2勝クラス,1.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,芝,1400,不良,2勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,芝,1400,全,3勝クラス,3.04,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,芝,1400,良,3勝クラス,3.04,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,芝,1400,稍重,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,芝,1400,重,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,芝,1400,不良,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,芝,1400,全,オープン,3.31,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,芝,1400,良,オープン,3.31,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,芝,1400,稍重,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,芝,1400,重,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,芝,1400,不良,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,芝,1600,全,all,3.92,23,16,8,13,6,3,1,0,0,0,0,0,0,0,1,0,0,0
36,芝,1600,良,all,3.86,20,13,8,11,5,2,1,0,0,0,0,0,0,0,1,0,0,0
37,芝,1600,稍重,all,4.78,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38,芝,1600,重,all,2.24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,芝,1600,不良,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,芝,1600,全,未勝利,3.9,8,4,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0
41,芝,1600,良,未勝利,3.95,7,3,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0
42,芝,1600,稍重,未勝利,3.66,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,芝,1600,重,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,芝,1600,不良,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,芝,1600,全,新馬,3.15,6,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
46,芝,1600,良,新馬,2.96,6,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
47,芝,1600,稍重,新馬,5.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,芝,1600,重,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,芝,1600,不良,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,芝,1600,全,1勝クラス,5.19,4,2,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
51,芝,1600,良,1勝クラス,5.13,3,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
52,芝,1600,稍重,1勝クラス,8.51,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,芝,1600,重,1勝クラス,2.24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,芝,1600,不良,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,芝,1600,全,2勝クラス,3.98,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,芝,1600,良,2勝クラス,4.44,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,芝,1600,稍重,2勝クラス,2.36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,芝,1600,重,2勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,芝,1600,不良,2勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,芝,1600,全,3勝クラス,2.72,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,芝,1600,良,3勝クラス,2.72,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,芝,1600,稍重,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,芝,1600,重,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,芝,1600,不良,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,芝,1600,全,オープン,3.51,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,芝,1600,良,オープン,3.51,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,芝,1600,稍重,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,芝,1600,重,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,芝,1600,不良,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,芝,1800,全,all,3.91,21,14,4,8,3,3,0,0,0,0,1,1,0,0,0,0,0,0
71,芝,1800,良,all,3.89,17,13,2,6,3,1,0,0,0,0,1,1,0,0,0,0,0,0
72,芝,1800,稍重,all,3.6,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,芝,1800,重,all,5.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,芝,1800,不良,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,芝,1800,全,未勝利,2.68,9,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,芝,1800,良,未勝利,2.34,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,芝,1800,稍重,未勝利,2.93,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,芝,1800,重,未勝利,6.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,芝,1800,不良,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
