,race_type,course_len,ground_state,class,avg_pop,pop_1_count,pop_2_count,pop_3_count,pop_4_count,pop_5_count,pop_6_count,pop_7_count,pop_8_count,pop_9_count,pop_10_count,pop_11_count,pop_12_count,pop_13_count,pop_14_count,pop_15_count,pop_16_count,pop_17_count,pop_18_count
0,芝,1200,全,all,5.02,23,12,11,13,6,7,2,6,2,3,1,2,0,1,1,0,0,0
1,芝,1200,良,all,4.59,18,9,8,8,3,3,0,6,1,2,1,1,0,0,0,0,0,0
2,芝,1200,稍重,all,5.91,2,1,3,4,2,4,1,0,1,1,0,0,0,1,0,0,0,0
3,芝,1200,重,all,5.58,2,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
4,芝,1200,不良,all,6.38,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,芝,1200,全,未勝利,5.86,4,4,2,6,3,2,1,3,1,1,0,2,0,0,1,0,0,0
6,芝,1200,良,未勝利,5.21,4,2,2,4,2,2,0,3,0,1,0,1,0,0,0,0,0,0
7,芝,1200,稍重,未勝利,5.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,芝,1200,重,未勝利,7.4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
9,芝,1200,不良,未勝利,14.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,芝,1200,全,新馬,4.08,6,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11,芝,1200,良,新馬,3.86,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,芝,1200,稍重,新馬,6.58,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,芝,1200,重,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,芝,1200,不良,新馬,1.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,芝,1200,全,1勝クラス,4.24,10,4,3,2,2,4,0,1,0,1,0,0,0,1,0,0,0,0
16,芝,1200,良,1勝クラス,3.88,6,4,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
17,芝,1200,稍重,1勝クラス,5.64,2,0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0
18,芝,1200,重,1勝クラス,1.03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,芝,1200,不良,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,芝,1200,全,2勝クラス,3.65,3,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
21,芝,1200,良,2勝クラス,2.92,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,芝,1200,稍重,2勝クラス,5.1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,芝,1200,重,2勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,芝,1200,不良,2勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,芝,1200,全,3勝クラス,8.12,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
26,芝,1200,良,3勝クラス,7.19,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,芝,1200,稍重,3勝クラス,9.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,芝,1200,重,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,芝,1200,不良,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,芝,1200,全,オープン,5.79,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
31,芝,1200,良,オープン,6.53,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,芝,1200,稍重,オープン,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,芝,1200,重,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,芝,1200,不良,オープン,3.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,芝,1700,全,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,芝,1700,良,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,芝,1700,稍重,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,芝,1700,重,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,芝,1700,不良,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,芝,1700,全,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,芝,1700,良,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,芝,1700,稍重,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,芝,1700,重,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,芝,1700,不良,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,芝,1700,全,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,芝,1700,良,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,芝,1700,稍重,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,芝,1700,重,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,芝,1700,不良,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,芝,1700,全,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,芝,1700,良,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
