,race_type,course_len,ground_state,class,avg_pop,pop_1_count,pop_2_count,pop_3_count,pop_4_count,pop_5_count,pop_6_count,pop_7_count,pop_8_count,pop_9_count,pop_10_count,pop_11_count,pop_12_count,pop_13_count,pop_14_count,pop_15_count,pop_16_count,pop_17_count,pop_18_count
0,芝,1000,全,all,4.15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,芝,1000,良,all,4.15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,芝,1000,稍重,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,芝,1000,重,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,芝,1000,不良,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,芝,1000,全,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,芝,1000,良,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,芝,1000,稍重,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,芝,1000,重,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,芝,1000,不良,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,芝,1000,全,新馬,4.15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,芝,1000,良,新馬,4.15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,芝,1000,稍重,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,芝,1000,重,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,芝,1000,不良,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,芝,1000,全,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,芝,1000,良,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,芝,1000,稍重,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,芝,1000,重,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,芝,1000,不良,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,芝,1000,全,2勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,芝,1000,良,2勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,芝,1000,稍重,2勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,芝,1000,重,2勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,芝,1000,不良,2勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,芝,1000,全,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,芝,1000,良,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,芝,1000,稍重,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,芝,1000,重,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,芝,1000,不良,3勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,芝,1000,全,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,芝,1000,良,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,芝,1000,稍重,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,芝,1000,重,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,芝,1000,不良,オープン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,芝,1200,全,all,5.85,105,90,79,57,42,47,27,28,22,21,9,5,6,3,1,3,0,0
36,芝,1200,良,all,5.81,80,71,58,40,29,30,23,16,15,15,8,2,5,2,1,3,0,0
37,芝,1200,稍重,all,5.52,22,13,18,15,12,12,3,8,6,5,1,3,1,1,0,0,0,0
38,芝,1200,重,all,5.69,3,6,3,2,1,5,1,4,1,1,0,0,0,0,0,0,0,0
39,芝,1200,不良,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,芝,1200,全,未勝利,5.57,42,31,28,17,14,12,8,7,8,6,1,1,0,1,0,1,0,0
41,芝,1200,良,未勝利,5.42,31,26,21,11,10,7,7,3,4,3,1,0,0,1,0,1,0,0
42,芝,1200,稍重,未勝利,5.84,11,3,6,5,4,4,1,3,4,3,0,1,0,0,0,0,0,0
43,芝,1200,重,未勝利,5.56,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
44,芝,1200,不良,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,芝,1200,全,新馬,7.16,7,5,9,4,5,5,2,3,0,1,1,0,0,0,0,0,0,0
46,芝,1200,良,新馬,7.48,6,5,7,2,3,3,2,3,0,1,1,0,0,0,0,0,0,0
47,芝,1200,稍重,新馬,7.0,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
48,芝,1200,重,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,芝,1200,不良,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,芝,1200,全,1勝クラス,5.59,25,20,17,16,13,13,5,7,9,3,2,0,3,1,0,0,0,0
51,芝,1200,良,1勝クラス,5.66,18,13,12,10,11,9,3,2,7,2,2,0,2,1,0,0,0,0
52,芝,1200,稍重,1勝クラス,4.98,5,6,4,5,2,2,2,3,2,1,0,0,1,0,0,0,0,0
53,芝,1200,重,1勝クラス,4.78,2,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0
54,芝,1200,不良,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,芝,1200,全,2勝クラス,6.01,15,17,17,8,4,11,5,7,1,5,2,3,1,1,1,1,0,0
56,芝,1200,良,2勝クラス,5.63,14,13,13,7,2,6,4,5,1,4,2,1,1,0,1,1,0,0
57,芝,1200,稍重,2勝クラス,6.8,1,3,3,1,2,3,0,2,0,0,0,2,0,1,0,0,0,0
