index,着順,race_type,course_len,ground_state,class,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
202508010101,1,ダート,1200,良,未勝利,ホッコータルマエ,ヤマイチマロン,キングカメハメハ,マダムチェロキー,エンパイアメーカー,ローレルマロン,Kingmambo,マンファス,Cherokee Run,アンフォイルド,Unbridled,Toussaud,フォーティナイナー,ミルフォードスルー,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Runaway Groom,Cherokee Dame,Unbridled,Bold Foil,Fappiano,Gana Facil,El Gran Senor,Image of Reality,Mr. Prospector,File,スルーザドラゴン,スピードキヨフジ,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Blushing Groom,Yonnie Girl,Silver Saber,Dame Francesca,Fappiano,Gana Facil,Bold Forbes,Perfect Foil,Mr. Prospector,Killaloe,Le Fabuleux,Charedi,Northern Dancer,Sex Appeal,In Reality,Edee's Image,Raise a Native,Gold Digger,Tom Rolfe,Continue,Seattle Slew,Gueniviere,チャイナロック,イチシンヒカリ
202508010101,2,ダート,1200,良,未勝利,ストロングリターン,プリンシパルハニー,シンボリクリスエス,コートアウト,ゴールドアリュール,プリンシパルマーゴ,Kris S.,Tee Kay,Smart Strike,アザール,サンデーサイレンス,ニキーヤ,ヘクタープロテクター,プリンセスアーニャ,Roberto,Sharp Queen,Gold Meridian,Tri Argo,Mr. Prospector,Classy 'n Smart,Nijinsky,Smart Heiress,Halo,Wishing Well,Nureyev,Reluctant Guest,Woodman,Korveya,ノーザンテースト,モデルスポート,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,Raise a Native,Gold Digger,Smarten,No Class,Northern Dancer,Flaming Page,Vaguely Noble,Smartaire,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Special,Hostage,Vaguely Royal,Mr. Prospector,プレイメイト,Riverman,Konafa,Northern Dancer,Lady Victoria,モデルフール,マジックゴデイス
202508010101,3,ダート,1200,良,未勝利,ファインニードル,ジェントルヴァウ,アドマイヤムーン,ニードルクラフト,Broken Vow,Ranter,エンドスウィープ,マイケイティーズ,Mark of Esteem,Sharp Point,Unbridled,Wedding Vow,Storm Cat,Preach,フォーティナイナー,Broom Dance,サンデーサイレンス,ケイティーズファースト,Darshaan,Homage,ロイヤルアカデミー,Nice Point,Fappiano,Gana Facil,Nijinsky,Wedding Picture,Storm Bird,Terlingua,Mr. Prospector,Narrate,Mr. Prospector,File,Dance Spell,Witching Hour,Halo,Wishing Well,Kris,Katies,Shirley Heights,Delsy,Ajdal,Home Love,Nijinsky,Crimson Saint,Sharpen Up,Alpine Niece,Mr. Prospector,Killaloe,Le Fabuleux,Charedi,Northern Dancer,Flaming Page,Blushing Groom,Strike a Pose,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Raise a Native,Gold Digger,Honest Pleasure,State
202508010101,4,ダート,1200,良,未勝利,ルヴァンスレーヴ,ヴォカツィオーネ,シンボリクリスエス,マエストラーレ,カジノドライヴ,アントワープ,Kris S.,Tee Kay,ネオユニヴァース,オータムブリーズ,Mineshaft,Better Than Honour,キングカメハメハ,フランダース,Roberto,Sharp Queen,Gold Meridian,Tri Argo,サンデーサイレンス,ポインテッドパス,ティンバーカントリー,セプテンバーソング,A.P. Indy,Prospector's Delite,Deputy Minister,Blush With Pride,Kingmambo,マンファス,サンデーサイレンス,グレートクリスティーヌ,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,Halo,Wishing Well,Kris,Silken Way,Woodman,Fall Aspen,リアルシャダイ,ダイナフェアリー,Seattle Slew,Weekend Surprise,Mr. Prospector,Up the Flagpole,Vice Regent,Mint Copy,Blushing Groom,Best in Show,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Halo,Wishing Well,Danzig,Great Lady M.
202508010101,5,ダート,1200,良,未勝利,ナダル,サニーレイ,Blame,Ascending Angel,ステイゴールド,ティエッチマンボ,Arch,Liable,Pulpit,Solar Colony,サンデーサイレンス,ゴールデンサッシュ,Kingmambo,ブロートツウマインド,Kris S.,Aurora,Seeking the Gold,Bound,A.P. Indy,Preach,Pleasant Colony,Meteor Stage,Halo,Wishing Well,ディクタス,ダイナサッシュ,Mr. Prospector,Miesque,Ruthie's Native,Eliza Blue,Roberto,Sharp Queen,Danzig,Althea,Mr. Prospector,Con Game,Nijinsky,Special,Seattle Slew,Weekend Surprise,Mr. Prospector,Narrate,His Majesty,Sun Colony,Stage Door Johnny,Northern Meteor,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sanctus,Doronic,ノーザンテースト,ロイヤルサッシュ,Raise a Native,Gold Digger,Nureyev,Pasadoble,Native Royalty,Right About,Icecapade,コレラ
202508010101,6,ダート,1200,良,未勝利,ビッグアーサー,ハッピーウェーブ,サクラバクシンオー,シヤボナ,ゴールドアリュール,ゴシップクイーン,サクラユタカオー,サクラハゴロモ,Kingmambo,Relish,サンデーサイレンス,ニキーヤ,フレンチデピュティ,レディゴシップ,テスコボーイ,アンジェリカ,ノーザンテースト,クリアアンバー,Mr. Prospector,Miesque,Sadler's Wells,Reloy,Halo,Wishing Well,Nureyev,Reluctant Guest,Deputy Minister,Mitterand,ノーザンテースト,レディフランダーズ,Princely Gift,Suncourt,ネヴァービート,スターハイネス,Northern Dancer,Lady Victoria,Ambiopoise,One Clear Call,Raise a Native,Gold Digger,Nureyev,Pasadoble,Northern Dancer,Fairy Bridge,Liloy,Rescousse,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Special,Hostage,Vaguely Royal,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Northern Dancer,Lady Victoria,Chieftain,Moll Flanders
202508010101,7,ダート,1200,良,未勝利,アドマイヤマーズ,ラテラス,ダイワメジャー,ヴィアメディチ,Harlan's Holiday,Garden Party,サンデーサイレンス,スカーレットブーケ,Medicean,Via Milano,Harlan,Christmas in Aiken,エーピージェット,Damerelle,Halo,Wishing Well,ノーザンテースト,スカーレットインク,Machiavellian,Mystic Goddess,シングスピール,Salvinaxia,Storm Cat,Country Romance,Affirmed,Dowager,Fappiano,Taminette,King's Bishop,Cheddar Pink,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,Crimson Satan,Consentida,Mr. Prospector,Coup de Folie,Storm Bird,Rose Goddess,In the Wings,Glorious Song,Linamix,Salve,Storm Bird,Terlingua,Halo,Sweet Romance,Exclusive Native,Won't Tell You,Honest Pleasure,Princessnesian,Mr. Prospector,Killaloe,In Reality,Tamerett,Round Table,Spearfish,Olden Times,Dianthus
202508010101,8,ダート,1200,良,未勝利,パイロ,ヴィトンクイーン,Pulpit,Wild Vision,ダンスインザダーク,クッドビークイーン,A.P. Indy,Preach,Wild Again,Carol's Wonder,サンデーサイレンス,ダンシングキイ,Vice Regent,Karantina,Seattle Slew,Weekend Surprise,Mr. Prospector,Narrate,Icecapade,Bushel-n-Peck,Pass the Tab,Carols Christmas,Halo,Wishing Well,Nijinsky,Key Partner,Northern Dancer,Victoria Regina,Gone West,Rokeby Venus,Bold Reasoning,My Charmer,Secretariat,Lassie Dear,Raise a Native,Gold Digger,Honest Pleasure,State,Nearctic,Shenanigans,Khaled,Dama,Al Hattab,Dantina,Whitesburg,Light Verse,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Flaming Page,Key to the Mint,Native Partner,Nearctic,Natalma,Menetrier,Victoriana,Mr. Prospector,Secrettame,Quadrangle,All Beautiful
202508010101,9,ダート,1200,良,未勝利,ルヴァンスレーヴ,スノードリーム,シンボリクリスエス,マエストラーレ,スウェプトオーヴァーボード,マルカジュリエット,Kris S.,Tee Kay,ネオユニヴァース,オータムブリーズ,エンドスウィープ,Sheer Ice,サンデーサイレンス,クルーピアレディー,Roberto,Sharp Queen,Gold Meridian,Tri Argo,サンデーサイレンス,ポインテッドパス,ティンバーカントリー,セプテンバーソング,フォーティナイナー,Broom Dance,Cutlass,Hey Dolly A.,Halo,Wishing Well,What Luck,Question d'Argent,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,Halo,Wishing Well,Kris,Silken Way,Woodman,Fall Aspen,リアルシャダイ,ダイナフェアリー,Mr. Prospector,File,Dance Spell,Witching Hour,Damascus,Aphonia,Ambehaving,Swift Deal,Hail to Reason,Cosmah,Understanding,Mountain Flower,Bold Ruler,Irish Jay,Tentam,Cold Reply
202508010101,10,ダート,1200,良,未勝利,ディーマジェスティ,パッションチカ,ディープインパクト,エルメスティアラ,ナカヤマフェスタ,コルチカ,サンデーサイレンス,ウインドインハーヘア,ブライアンズタイム,シンコウエルメス,ステイゴールド,ディアウィンク,Machiavellian,Ivrea,Halo,Wishing Well,Alzao,Burghclere,Roberto,Kelley's Day,Sadler's Wells,Doff the Derby,サンデーサイレンス,ゴールデンサッシュ,タイトスポット,セイレイ,Mr. Prospector,Coup de Folie,Sadler's Wells,Ivy,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Hail to Reason,Bramalea,Graustark,Golden Trail,Northern Dancer,Fairy Bridge,Master Derby,Margarethen,Halo,Wishing Well,ディクタス,ダイナサッシュ,His Majesty,Premium Win,デインヒル,センスオブリズム,Raise a Native,Gold Digger,Halo,Raise the Standard,Northern Dancer,Fairy Bridge,Sir Ivor,Durga
