,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_winners,frame_1_wins,frame_2_wins,frame_3_wins,frame_4_wins,frame_5_wins,frame_6_wins,frame_7_wins,frame_8_wins,horse_1_wins,horse_2_wins,horse_3_wins,horse_4_wins,horse_5_wins,horse_6_wins,horse_7_wins,horse_8_wins,horse_9_wins,horse_10_wins,horse_11_wins,horse_12_wins,horse_13_wins,horse_14_wins,horse_15_wins,horse_16_wins,horse_17_wins,horse_18_wins
0,芝,1200,全,all,4.64,7.96,56,7,6,8,4,8,7,9,7,5,4,5,3,3,3,3,3,5,4,1,5,3,4,3,2,0,0
1,芝,1200,良,all,4.5,8.05,40,6,5,5,3,5,5,6,5,4,3,4,1,2,2,1,3,4,2,1,4,2,4,2,1,0,0
2,芝,1200,稍重,all,5.11,7.11,9,0,0,3,1,1,1,2,1,0,0,1,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0
3,芝,1200,重,all,3.67,6.33,3,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,芝,1200,不良,all,5.75,10.25,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
5,芝,1200,全,未勝利,3.72,6.17,18,5,1,3,2,1,4,2,0,3,2,2,0,1,2,2,1,1,0,0,3,0,1,0,0,0,0
6,芝,1200,良,未勝利,3.33,6.25,12,4,1,2,1,1,2,1,0,2,2,1,0,1,1,0,1,1,0,0,2,0,1,0,0,0,0
7,芝,1200,稍重,未勝利,5.0,5.75,4,0,0,1,1,0,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
8,芝,1200,重,未勝利,1.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,芝,1200,不良,未勝利,6.0,12.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,芝,1200,全,新馬,5.14,8.86,7,0,1,1,0,2,1,1,1,0,1,0,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0
11,芝,1200,良,新馬,6.0,10.33,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
12,芝,1200,稍重,新馬,5.5,9.5,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,芝,1200,重,新馬,2.0,2.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,芝,1200,不良,新馬,5.0,10.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,芝,1200,全,1勝クラス,4.23,7.77,13,2,1,3,1,3,0,1,2,2,0,1,1,1,1,0,1,2,1,0,0,0,1,1,1,0,0
16,芝,1200,良,1勝クラス,4.27,8.0,11,2,1,2,1,2,0,1,2,2,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0
17,芝,1200,稍重,1勝クラス,3.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
