,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id
202604010101,1,5,7,サトノエピック,牡5,60,上野翔,0:3:12.7,,3-3-2-2,13.3,3.4,2,536,[東]奥村武,障害,2890,晴,重,2026年05月02日,未勝利,2021105271,01087
202604010101,2,5,8,ノーブルクライ,牡6,60,五十嵐雄,0:3:12.8,1,5-4-6-5,13.3,13.4,5,508,[東]田村康仁,障害,2890,晴,重,2026年05月02日,未勝利,2020102976,01069
202604010101,3,7,11,ビジューブリランテ,セ8,57,坂口智康,0:3:13.0,1,1-1-1-1,13.4,4.0,3,496,[東]浅利英明,障害,2890,晴,重,2026年05月02日,未勝利,2018105199,01211
202604010101,4,8,14,ディベルティスマン,牡4,59,伴啓太,0:3:13.8,5,8-6-4-4,13.4,3.3,1,520,[東]菊沢隆徳,障害,2890,晴,重,2026年05月02日,未勝利,2022104000,01149
202604010101,5,6,10,メイショウトム,牡5,60,難波剛健,0:3:14.4,3.1/2,8-8-7-7,13.5,11.8,4,494,[西]谷潔,障害,2890,晴,重,2026年05月02日,未勝利,2021110065,01066
202604010101,6,4,6,オリンポスカズマ,牡6,60,小坂忠士,0:3:14.9,3,4-5-5-5,13.5,148.6,13,534,[西]平田修,障害,2890,晴,重,2026年05月02日,未勝利,2020102013,01063
202604010101,7,8,13,メイショウコガシラ,牡6,60,中村将之,0:3:15.0,1/2,2-2-2-3,13.5,16.7,7,510,[西]本田優,障害,2890,晴,重,2026年05月02日,未勝利,2020100979,01101
202604010101,8,2,2,ファイツオン,牡5,60,小牧加矢,0:3:17.0,大,5-6-8-8,13.6,19.3,8,518,[西]藤岡健一,障害,2890,晴,重,2026年05月02日,未勝利,2021100476,01196
202604010101,9,7,12,シークレットキー,牡5,57,鷲頭虎太,0:3:17.0,ハナ,10-10-9-9,13.6,14.8,6,504,[西]井上智史,障害,2890,晴,重,2026年05月02日,未勝利,2021105489,01202
202604010101,10,3,3,ノブダブルホワイト,牡4,59,江田勇亮,0:3:18.4,9,11-11-12-12,13.7,176.0,14,442,[東]松永康利,障害,2890,晴,重,2026年05月02日,未勝利,2022101614,01023
202604010101,11,4,5,ニシノインヴィクタ,牡5,57,水沼元輝,0:3:19.6,7,12-11-11-11,13.8,82.4,12,512,[東]本間忍,障害,2890,晴,重,2026年05月02日,未勝利,2021100190,01201
202604010101,12,1,1,ヴォルスター,牡5,60,黒岩悠,0:3:19.8,1,7-9-10-10,13.8,56.7,10,436,[西]清水久詞,障害,2890,晴,重,2026年05月02日,未勝利,2021100677,01072
202604010101,13,3,4,アップストローク,セ7,60,草野太郎,0:3:30.3,大,13-13-13-13,14.6,56.6,9,478,[東]杉浦宏昭,障害,2890,晴,重,2026年05月02日,未勝利,2019104675,01113
202604010101,14,6,9,サミアド,牡5,60,大江原圭,0:3:32.1,大,13-13-13-13,14.7,66.2,11,514,[東]竹内正洋,障害,2890,晴,重,2026年05月02日,未勝利,2021109086,01120
202604010102,1,3,5,ミアルーチェ,牝3,55,ゴンサル,0:1:54.8,,10-8-6-6,39.8,5.0,2,476,[東]加藤士津,ダート,1800,晴,不良,2026年05月02日,未勝利,2023107408,05675
202604010102,2,3,4,スマートコーラル,牝3,53,舟山瑠泉,0:1:54.8,クビ,2-2-1-1,40.7,24.7,9,494,[西]石坂公一,ダート,1800,晴,不良,2026年05月02日,未勝利,2023106001,01221
202604010102,3,4,6,スマイルガーデン,牝3,55,小沢大仁,0:1:55.8,6,7-7-6-7,40.8,7.2,3,482,[西]西村真幸,ダート,1800,晴,不良,2026年05月02日,未勝利,2023107077,01185
202604010102,4,6,11,アーティラリー,牝3,55,菊沢一樹,0:1:56.0,1.1/4,6-5-4-4,41.3,8.9,6,480,[東]松山将樹,ダート,1800,晴,不良,2026年05月02日,未勝利,2023105452,01161
202604010102,5,4,7,オーケーリアン,牝3,55,富田暁,0:1:56.2,1,3-3-4-4,41.6,7.8,5,432,[西]宮地貴稔,ダート,1800,晴,不良,2026年05月02日,未勝利,2023105544,01168
202604010102,6,6,10,マカロンブルー,牝3,55,斎藤新,0:1:56.4,1.1/2,3-3-3-3,41.9,3.0,1,446,[西]佐藤悠太,ダート,1800,晴,不良,2026年05月02日,未勝利,2023104965,01178
202604010102,7,7,12,ブラッドムーン,牝3,53,永島まな,0:1:56.4,アタマ,11-11-8-8,41.0,24.1,8,444,[西]宮本博,ダート,1800,晴,不良,2026年05月02日,未勝利,2023102701,01187
202604010102,8,7,13,エンジェルグラース,牝3,55,丹内祐次,0:1:57.3,5,12-13-12-11,41.5,66.0,11,430,[西]高橋康之,ダート,1800,晴,不良,2026年05月02日,未勝利,2023104979,01091
202604010102,9,1,1,アメジストブリエ,牝3,52,和田陽希,0:1:57.9,4,15-15-14-14,41.3,30.8,10,428,[西]武英智,ダート,1800,晴,不良,2026年05月02日,未勝利,2023105040,01223
202604010102,10,2,2,ジョーヴェスタ,牝3,53,柴田裕一,0:1:59.1,7,12-12-8-9,43.6,207.9,14,424,[西]松下武士,ダート,1800,晴,不良,2026年05月02日,未勝利,2023100287,01212
202604010102,11,5,8,ノクスカンパーナ,牝3,53,田山旺佑,0:1:59.7,4,8-8-12-12,43.9,68.2,12,476,[西]吉岡辰弥,ダート,1800,晴,不良,2026年05月02日,未勝利,2023105168,01220
202604010102,12,2,3,アトリ,牝3,55,石川裕紀,0:2:00.4,4,1-1-2-2,46.3,7.5,4,478,[西]清水久詞,ダート,1800,晴,不良,2026年05月02日,未勝利,2023106885,01150
202604010102,13,8,15,メジロピオラ,牝3,55,吉田隼人,0:2:00.6,1,8-8-8-10,45.1,18.2,7,468,[東]武井亮,ダート,1800,晴,不良,2026年05月02日,未勝利,2023103905,01095
202604010102,14,8,14,ジュニアスウィート,牝3,51,河原田菜,0:2:01.4,5,5-5-11-12,45.8,150.6,13,464,[東]小手川準,ダート,1800,晴,不良,2026年05月02日,未勝利,2023103084,01204
202604010102,15,5,9,トリプルハッピー,牝3,52,森田誠也,0:2:02.2,5,14-14-15-15,44.7,297.5,15,410,[西]森田直行,ダート,1800,晴,不良,2026年05月02日,未勝利,2023106014,01222
202604010103,1,5,8,アンバサダネージュ,牡3,54,佐藤翔馬,0:1:11.9,,2-2,37.9,3.9,2,486,[東]武藤善則,ダート,1200,晴,不良,2026年05月02日,未勝利,2023103216,01207
202604010103,2,3,4,ジュディーイメル,牝3,52,小林美駒,0:1:12.0,1,1-1,38.1,4.8,3,438,[西]武英智,ダート,1200,晴,不良,2026年05月02日,未勝利,2023105116,01206
202604010103,3,2,3,スノーランス,牝3,53,舟山瑠泉,0:1:12.7,4,5-6,38.4,5.5,4,464,[東]上原佑紀,ダート,1200,晴,不良,2026年05月02日,未勝利,2023103693,01221
202604010103,4,4,6,マリブサーフ,牝3,53,田山旺佑,0:1:12.7,クビ,2-2,38.7,2.3,1,432,[西]牧浦充徳,ダート,1200,晴,不良,2026年05月02日,未勝利,2023100966,01220
202604010103,5,6,10,ジュエルサンライズ,牝3,53,古川奈穂,0:1:12.9,1,9-9,38.3,74.7,9,474,[西]東田明士,ダート,1200,晴,不良,2026年05月02日,未勝利,2023104826,01190
