,race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
0,202609020412,2026/04/05,阪神,晴,12,天満橋S,3勝クラス,16,8,15,4.8,3,9,永島まな,56,ダート,1400,重,0:1:23.2,0.8,3-3,37.0,446,ルークススペイ
1,202609010110,2026/02/21,阪神,晴,10,鳴門S,3勝クラス,16,8,15,13.7,5,2,永島まな,56,ダート,1400,良,0:1:23.8,0.2,3-2,36.5,454,ベルジュロネット
2,202508030208,2025/10/05,京都,曇,08,3歳以上2勝クラス,2勝クラス,16,7,14,14.6,6.0,1,永島まな,52.0,ダート,1400,重,0:1:22.6,-0.1,3-2,36.2,462,(ピエマンソン)
3,202509040512,2025/09/15,阪神,晴,12,3歳以上1勝クラス,1勝クラス,15,8,14,5.8,4.0,1,永島まな,52.0,ダート,1400,良,0:1:24.7,-0.1,9-10,36.2,460,(ウォーターパラディ)
4,202509010404,2025/03/09,阪神,晴,04,3歳1勝クラス,1勝クラス,16,7,14,20.1,8.0,2,吉村誠之,53.0,ダート,1400,良,0:1:25.2,0.4,6-5,37.8,438,ベルギューン
5,202510010609,2025/02/09,小倉,晴,09,かささぎ賞,1勝クラス,16,1,2,20.1,8.0,6,長岡禎仁,55.0,芝,1200,稍重,0:1:10.7,0.7,8-11,35.7,444,ドゥアムール
6,202510010109,2025/01/25,小倉,晴,09,萌黄賞,1勝クラス,12,1,1,7.1,3.0,6,長岡禎仁,55.0,芝,1200,良,0:1:09.3,0.4,8-8,34.8,450,アブキールベイ
7,202408060111,2024/11/02,京都,雨,11,ファンタジーS,オープン,15,5,8,39.9,13.0,10,長岡禎仁,55.0,芝,1400,不良,0:1:23.5,0.7,6-8,34.9,440,ダンツエラン
8,202407020811,2024/09/01,中京,曇,11,小倉2歳S,オープン,13,6,9,11.3,7.0,9,長岡禎仁,55.0,芝,1200,重,0:1:09.9,0.9,10-9,34.5,448,エイシンワンド
9,202410030305,2024/07/06,小倉,晴,05,2歳新馬,新馬,6,4,4,2.3,2.0,1,長岡禎仁,55.0,芝,1200,良,0:1:09.2,-0.1,3-3,34.6,444,(セルヴァンス)
