,race_type,course_len,ground_state,class,avg_pop,pop_1_count,pop_2_count,pop_3_count,pop_4_count,pop_5_count,pop_6_count,pop_7_count,pop_8_count,pop_9_count,pop_10_count,pop_11_count,pop_12_count,pop_13_count,pop_14_count,pop_15_count,pop_16_count,pop_17_count,pop_18_count
0,芝,1200,全,all,5.51,44,34,24,16,16,4,8,10,3,1,3,1,3,1,1,0,0,0
1,芝,1200,良,all,5.69,33,28,18,10,13,4,5,8,2,1,3,1,2,1,1,0,0,0
2,芝,1200,稍重,all,4.88,8,2,5,3,2,0,2,2,0,0,0,0,1,0,0,0,0,0
3,芝,1200,重,all,4.46,3,4,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
4,芝,1200,不良,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,芝,1200,全,未勝利,3.08,14,4,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0
6,芝,1200,良,未勝利,3.29,11,4,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0
7,芝,1200,稍重,未勝利,1.54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,芝,1200,重,未勝利,1.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,芝,1200,不良,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,芝,1200,全,新馬,4.9,7,5,3,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0
11,芝,1200,良,新馬,5.01,5,3,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12,芝,1200,稍重,新馬,5.75,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,芝,1200,重,新馬,5.32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,芝,1200,不良,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,芝,1200,全,1勝クラス,6.01,7,3,11,2,5,1,0,1,0,0,1,0,1,0,0,0,0,0
16,芝,1200,良,1勝クラス,6.32,4,2,9,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0
17,芝,1200,稍重,1勝クラス,6.27,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,芝,1200,重,1勝クラス,3.93,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,芝,1200,不良,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,芝,1200,全,2勝クラス,5.52,7,13,3,1,4,2,2,1,1,0,0,1,1,0,0,0,0,0
21,芝,1200,良,2勝クラス,5.61,5,11,3,1,4,2,1,1,1,0,0,1,1,0,0,0,0,0
22,芝,1200,稍重,2勝クラス,1.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,芝,1200,重,2勝クラス,4.97,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,芝,1200,不良,2勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,芝,1200,全,3勝クラス,6.66,1,5,1,4,2,1,2,2,1,0,1,0,0,0,1,0,0,0
