,2023103978
peds_0,マジェスティックウォリアー  Majestic Warrior(米)
peds_1,ビップキャッツアイ
peds_2,A.P. Indy
peds_3,Dream Supreme
peds_4,シンボリクリスエス
peds_5,マチカネセキガハラ
peds_6,Seattle Slew
peds_7,Weekend Surprise
peds_8,Seeking the Gold
peds_9,Spinning Round
peds_10,Kris S.
peds_11,Tee Kay
peds_12,フジキセキ
peds_13,マチカネチコウヨレ
peds_14,Bold Reasoning
peds_15,My Charmer
peds_16,Secretariat
peds_17,Lassie Dear
peds_18,Mr. Prospector
peds_19,Con Game
peds_20,Dixieland Band
peds_21,Take Heart
peds_22,Roberto
peds_23,Sharp Queen
peds_24,Gold Meridian
peds_25,Tri Argo
peds_26,サンデーサイレンス
peds_27,ミルレーサー
peds_28,Deputy Minister
peds_29,Alysbelle
peds_30,Boldnesian
peds_31,Reason to Earn
peds_32,Poker
peds_33,Fair Charmer
peds_34,Bold Ruler
peds_35,Somethingroyal
peds_36,Buckpasser
peds_37,Gay Missile
peds_38,Raise a Native
peds_39,Gold Digger
peds_40,Buckpasser
peds_41,Broadway
peds_42,Northern Dancer
peds_43,Mississippi Mud
peds_44,Secretariat
peds_45,Deck Stewardess
peds_46,Hail to Reason
peds_47,Bramalea
peds_48,Princequillo
peds_49,Bridgework
peds_50,Seattle Slew
peds_51,Queen Louie
peds_52,Tri Jet
peds_53,Hail Proudly
peds_54,Halo
peds_55,Wishing Well
peds_56,Le Fabuleux
peds_57,Marston's Mill
peds_58,Vice Regent
peds_59,Mint Copy
peds_60,Alydar
peds_61,Bel Sheba
