,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,クラウンジュエル,牡2,56.0,松岡,尾関,美浦,2022101812,01085,サトノクラウン ,ジャスティシア ,キングカメハメハ ,-2.4777183446190953,11
1,2,2,ツァガーンサル,牝2,55.0,Ｈドイル,萩原,美浦,2022105095,05625,Not This Time ,モンゴリアンチャンガ ,Brilliant Speed ,-0.23745779757782734,3
2,2,3,ロングウェイホーム,牡2,56.0,嶋田,伊坂,美浦,2022101634,01134,ジャスタウェイ ,エヴァモア Evermore(愛) ,Dansili ,-0.7960397552553858,5
3,3,4,バルジール,牡2,56.0,大野,萩原,美浦,2022105705,01096,ルヴァンスレーヴ ,ソロダンサー ,ゴールドアリュール ,0.04831251199503609,2
4,3,5,アリーワーク,牝2,54.0,☆小沢,小野,美浦,2022101325,01185,ベストウォーリア ,ネビュラ ,ネオユニヴァース ,-2.0805941172273617,8
5,4,6,カフェノーチェ,牡2,56.0,三浦,古賀,美浦,2022100949,01122,ナダル Nadal(米) ,カフェローレル ,マンハッタンカフェ ,-0.48479976756217597,4
6,4,7,トンヤイビーン,牡2,54.0,◇永島,辻,美浦,2022103116,01187,アニマルキングダム Animal Kingdom(米) ,プレイフォミラクル ,ヘニーヒューズ Henny Hughes(米) ,-2.1008289643027838,9
7,5,8,ラナイ,牝2,55.0,柴田大,伊藤大,美浦,2022105960,01009,ドレフォン Drefong(米) ,サオヒメ ,サンデーサイレンス Sunday Silence(米) ,-0.9929741367412995,7
8,5,9,ヤマニンエボルブ,牡2,56.0,伊藤,千葉,美浦,2022100395,01119,ビーチパトロール Beach Patrol(米) ,ヤマニンエルフィン ,スウィフトカレント ,-3.249657819383297,13
9,6,10,シャトーホークビル,牡2,53.0,▲石神道,加藤和,美浦,2022107268,01209,ホークビル Hawkbill(米) ,ノーモアクライ ,Cozzene ,-3.890399925927476,14
10,6,11,スピアッジャローザ,牝2,55.0,秋山稔,蛯名利,美浦,2022103537,01181,ビーチパトロール Beach Patrol(米) ,ナンヨーユナ ,ジャングルポケット ,-0.9791266385903657,6
11,7,12,マブアンドフェール,牡2,56.0,杉原,古賀,美浦,2022100326,01135,マインドユアビスケッツ Mind Your Biscuits(米) ,イブニングサンダー Evening Thunder(米) ,Morning Line ,-2.130796784168557,10
12,7,13,グロワールスカイ,牡2,56.0,黛,加藤士,美浦,2022106077,01109,ゴールドドリーム ,ビップキャッツアイ ,シンボリクリスエス ,-2.9508101367322452,12
13,8,14,ヒットミー,牝2,55.0,柴田善,鹿戸,美浦,2022104394,00641,シニスターミニスター Sinister Minister(米) ,スリーアロー ,アルデバランII Aldebaran(米) ,0.3460746438352313,1
14,8,15,ハズムリズム,牡2,52.0,★河原田,土田,美浦,2022103158,01204,ラブリーデイ ,アンジェルブ ,Tiznow ,-4.542188123638778,15
